,result
0,133.3093107046187
1,133.11062889747322
2,132.99589457564056
3,132.97447481766343
4,133.02376039527357
5,133.11369550056756
6,133.2194499412179
7,133.32533138260246
8,133.42380031771958
9,133.51284022271633
10,133.59323168747127
11,133.66677440531552
12,133.73529594779015
13,133.80027386002243
14,133.86277990430594
15,133.9235667923093
16,133.98315181970597
17,134.04194386690855
18,134.10018764264882
19,134.15809378229082
20,134.2157985793054
21,134.27336088769138
22,134.33079619534314
23,134.38811689257622
24,134.44528271086514
25,134.50228435747326
26,134.55910014934838
27,134.61569291554392
28,134.67208124153316
29,134.72824034668506
